ID,Display Order,Category,Rarity,Description,Name,Token Standard,Token Address,Token ID,Image URL
ecard_bird_3001_s0,20430011.0,Special,Epic,"(Enhance a Non-Multihit Attack card)
ATK +10",Bird's Charm of Power II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bird_5001.png
ecard_mech_4002,20820020.0,Special,Rare,"(Enhance a Shielding card)
Shield Stat +6",Mech's Charm of Endurance I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_mech_4002.png
axie_momo,5.0,Axie,Rare,Starter Axie. Class: Bird.,Momo,,,,https://storage.googleapis.com/origin-production/assets/item/axie_momo.png
rune_bird_hybrid_1,10430010.0,Special,Epic,Deal 20% bonus DMG if HP is above 50%. Take 20% less DMG if HP is below 50%.,Raven's Tactic,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bird_hybrid_1.png
ecard_mech_4003,20830030.0,Special,Epic,"(Enhance any card)
All teammates gain 2 {Shield Boost}.",Protection Cartridge,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_mech_4003.png
ecard_plant_0001,20520000.0,Special,Rare,"(Alter Heals & Shields)
-15% Stats. <Cleanse>: 2.
Bonus <Cleanse>: 2 on Single Targets.",White Sage,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_plant_0001.png
rune_bird_3001_s0,10430011.0,Special,Epic,Deal 20% bonus DMG if HP is above 50%. Take 20% less DMG if HP is below 50%.,Raven's Tactic,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bird_hybrid_1.png
rune_bird_offensive_1,10420020.0,Special,Rare,Attack cards also deal 8 DMG per Energy cost to all enemies.,Energy Guru,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bird_offensive_1.png
ecard_bird_3003_s0,20430031.0,Special,Epic,"(Enhance any Attack card)
All teammates gain 1 {Feather}.",Feather Fan,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bird_4003.png
ecard_neutral_2005_s1,20120051.0,Special,Rare,"(Enhance Healing cards)
Heal Stat +4",Charm of Faith II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_2005.png
rune_bird_utility_1,10440010.0,Special,Mystic,"{Solo}. When your turn starts, this Axie gain 2 {Feather}, another random ally (not summon) gain 2 {Feather}. This Axie gains back half of the Feather stack consumed.",Feather Descend,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bird_utility_1.png
ecard_plant_4001,20520010.0,Special,Rare,"(Enhance any card)
Axie's max HP +12",Plant's Charm of Vitality I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_plant_4001.png
ecard_bird_4001_s0,20440011.0,Special,Mystic,"(Enhance any card)
Add <Innate>. Card's base stat -10%.",Secret Egg,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bird_5003.png
ecard_neutral_5005_s0,20150051.0,Special,Mystic,"(Enhance any card)
Add <Ethereal>.",Energy Drink S,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_5006.png
rune_bird_4001_s0,10440011.0,Special,Mystic,"{Solo}. When your turn starts, this Axie gain 2 {Feather}, another random ally (not summon) gain 2 {Feather}. This Axie gains back half of the Feather stack consumed.",Feather Descend,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bird_utility_1.png
rune_bug_offensive_1,10330010.0,Special,Epic,Single Attack consumes 50% of current Shield and deal bonus DMG equal to x1.5 times that amount.,Sturdy Fighter,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bug_offensive_1.png
ecard_neutral_3002,20130020.0,Special,Epic,"(Enhance Non-Multihit Attack card)
ATK +7",Charm of Power III,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_3002.png
ecard_plant_4002,20520020.0,Special,Rare,"(Enhance any Healing card)
Heal Stat +6",Plant's Charm of Faith I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_plant_4002.png
ecard_bird_4003_s0,20440031.0,Special,Mystic,"(Enhance an Attack card)
Attack applies {Fragile} for 4 turns.",Flamingo Hammer,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bird_5005.png
rune_bug_defensive_1,10320010.0,Special,Rare,"When your turn ends, gain Shield equal to (3 x the number of cards in your Discard Pile).",Vault Builder,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bug_defensive_1.png
rune_bug_utility_1,10340010.0,Special,Mystic,"{Solo}. In odd <Round>s, draw 1 additional Card when your turn starts. In even <Round>s, gain 50 Shield when your turn starts.",Collect And Protect,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bug_utility_1.png
ecard_beast_4001,20220020.0,Special,Rare,"(Enhance a Non-Multihit Attack card)
ATK +6",Beast's Charm of Power I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_beast_4001.png
stk_cool1,1.0,Cosmetic,Common,"Earned from reaching the final milestone in the Contest: ""A Special Occasion""",Extra Cool,,,,https://storage.googleapis.com/origin-production/assets/sticker/Cool1.png
rune_neutral_2001_s0_nft,10120010.0,Special,Rare,Healing and Shield cards gain 15% {Class Bonus}.        ,Pure Skill,ERC1155,0xC25970724f032aF21d801978C73653c440CF787c,1000029,https://storage.googleapis.com/origin-production/assets/item/rune_neutral_defensive_2.png
rune_neutral_4001_s0,10140011.0,Special,Mystic,"{Solo}.Energy +1 in Even <Round>s.
Add 2 [Daze] to your deck.",Shady Exchange,,,,https://storage.googleapis.com/origin-production/assets/item/rune_neutral_utility_2.png
ecard_dawn_5001,20930010.0,Special,Epic,"(Enhance a Multihit Attack card)
ATK +4",Dawn's Charm of Focus II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_dawn_5001.png
ecard_neutral_3003,20130030.0,Special,Epic,"(Enhance Multihit Attack card)
ATK +3",Charm of Focus III,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_3003.png
ecard_plant_2001_s0,20520011.0,Special,Rare,"(Enhance any card)
Axie's max HP +12",Plant's Charm of Vitality I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_plant_4001.png
rune_bug_2001_s0,10320011.0,Special,Rare,"When your turn ends, gain Shield equal to (3 x the number of cards in your Discard Pile).",Vault Builder,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bug_defensive_1.png
ecard_neutral_2006_s1,20120061.0,Special,Rare,"(Enhance Single Target Attack cards)
This card targets the closest enemy.",Earth Stamp,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_4001.png
ecard_beast_4002,20220010.0,Special,Rare,"(Enhance any card)
Axie's max HP +12",Beast's Charm of Vitality I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_beast_4002.png
ecard_beast_4003,20230030.0,Special,Epic,"(Enhance any Attack card)
All teammates gain 1 {Rage}.",Mask of Frenzy,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_beast_4003.png
ecard_dusk_5002,21030020.0,Special,Epic,"(Enhance a Multihit Attack card)
ATK +4",Dusk's Charm of Focus II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_dusk_5002.png
ecard_dusk_5003,21040010.0,Special,Mystic,"(Enhance any card)
Add <Banish>. Card's base stat +20%.",Dusk Energy Drink M,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_dusk_5003.png
stk_dab,1.0,Cosmetic,Common,"Earned from placing top 1,000 in the Contest: ""Plantstravaganza"" ",Dab,,,,https://storage.googleapis.com/origin-production/assets/sticker/Dab.png
stk_gg,1.0,Cosmetic,Common,"Earned from reaching ""Chick"" Rank in Season 1",GG,,,,https://storage.googleapis.com/origin-production/assets/sticker/GG.png
stk_ghost,1.0,Cosmetic,Common,"Earned from placing top 10,000 in Season 3's Offseason Leaderboard",Dancing Ghost,,,,https://storage.googleapis.com/origin-production/assets/sticker/Ghost.png
stk_gotcha,1.0,Cosmetic,Common,,Gotcha,,,,https://storage.googleapis.com/origin-production/assets/sticker/Gotcha.png
stk_hello,1.0,Cosmetic,Common,(Sticker) Earned from opening the Welcome Mail!,Hello!,,,,https://storage.googleapis.com/origin-production/assets/sticker/Hello.png
stk_holy,1.0,Cosmetic,Common,"Earned from reaching the final milestone in the Contest: ""Bugapalooza"" ",Nervous,,,,https://storage.googleapis.com/origin-production/assets/sticker/Holy.png
stk_loading,1.0,Cosmetic,Common,(Sticker) Earned from unlocking Level Rewards,Loading,,,,https://storage.googleapis.com/origin-production/assets/sticker/Loading.png
ecard_neutral_3001_s1,20130011.0,Special,Epic,"(Enhance any card)
Axie's max HP +12",Charm of Vitality III,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_3001.png
avt_s2_top1k,1.0,Cosmetic,Common,Avatar,Victorious Machito (S2),,,,https://storage.googleapis.com/origin-production/assets/avatar/s2_top1k.png
rune_beast_utility_1,10240010.0,Special,Mystic,{Solo}. Gain 2 {Rage} when your turn starts. {Rage} now grant 3 bonus DMG.,Endless Anger,,,,https://storage.googleapis.com/origin-production/assets/item/rune_beast_utility_1.png
ecard_bug_5005,20340030.0,Special,Mystic,"(Enhance an Attack card)
Attack applies {Weak} for 4 turns.",Lazy Snail,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bug_5005.png
stk_mump,1.0,Cosmetic,Common,(Sticker) Earned from unlocking Level Rewards,This is Fine,,,,https://storage.googleapis.com/origin-production/assets/sticker/Mump.png
ecard_bug_2001_s0,20320011.0,Special,Rare,"(Enhance a Shielding card)
Shield Stat +6",Bug's Charm of Endurance I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bug_4001.png
ecard_bug_2002_s0,20320021.0,Special,Rare,"(Enhance a Non-Multihit Attack card)
ATK +6",Bug's Charm of Power I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bug_4002.png
rune_bug_2002_s0,10320021.0,Special,Rare,"When your turn starts, steal 50% Shield from the Enemy with highest Shield.",Shield Leecher,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bug_hybrid_1.png
ecard_neutral_3002_s1,20130021.0,Special,Epic,"(Enhance Non-Multihit Attack card)
ATK +7",Charm of Power III,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_3002.png
rune_bug_hybrid_1,10320020.0,Special,Rare,"When your turn starts, steal 50% Shield from the Enemy with highest Shield.",Shield Leecher,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bug_hybrid_1.png
ecard_plant_4003,20530030.0,Special,Epic,"(Enhance any Skill or Secret card)
All teammates gain 1 {Leaf}.",Leafy Pot,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_plant_4003.png
rune_dawn_defensive_1,10920010.0,Special,Rare,Take 5% less DMG per Buff on this Axie (capped at 20%).,Arcane Protection,,,,https://storage.googleapis.com/origin-production/assets/item/rune_dawn_defensive_1.png
rune_neutral_utility_2,10140010.0,Special,Mystic,"{Solo}.Energy +1 in Even <Round>s.
Add 2 [Daze] and 1 [Void] to your deck.",Shady Exchange,,,,https://storage.googleapis.com/origin-production/assets/item/rune_neutral_utility_2.png
ecard_dawn_4001,20920010.0,Special,Rare,"(Enhance a Multihit Attack card)
ATK +3",Dawn's Charm of Focus I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_dawn_4001.png
stk_nice,1.0,Cosmetic,Common,Default Sticker,Nice,,,,https://storage.googleapis.com/origin-production/assets/sticker/Nice.png
rune_reptile_3001_s0_nft,10730010.0,Special,Epic,{Solo}. Apply 1 {Poison} to Attacker. Take 2% less DMG per {Poison} stack on the attacking enemy. Max at 20%.,Poison Touch,ERC1155,0xC25970724f032aF21d801978C73653c440CF787c,1000039,https://storage.googleapis.com/origin-production/assets/item/rune_reptile_hybrid_1.png
axie_ena,5.0,Axie,Rare,Starter Axie. Class: Plant.,Ena,,,,https://storage.googleapis.com/origin-production/assets/item/axie_ena.png
axie_pomodoro,5.0,Axie,Rare,Starter Axie. Class: Bug.,Pomodoro,,,,https://storage.googleapis.com/origin-production/assets/item/axie_pomodoro.png
moonshard,9.0,Material,Common,Crafting material,Moon Shard,,,,https://storage.googleapis.com/origin-production/assets/item/moonshard.png
moonstone,1.0,Material,Rare,Upgrade Axie,Moon Stone,,,,https://storage.googleapis.com/origin-production/assets/item/moonstone.png
slp,8.0,Material,Common,SLP,Smooth Love Potion,ERC20,0xa8754b9fa15fc18bb59458815510e40a12cd2014,0,https://storage.googleapis.com/origin-production/assets/item/slp.png
rune_aquatic_defensive_1,10620010.0,Special,Rare,"At the beginning of your turn, gain Shield equal to 4% of max HP.",Calcium Armor,,,,https://storage.googleapis.com/origin-production/assets/item/rune_aquatic_defensive_1.png
rune_aquatic_hybrid_1,10630010.0,Special,Epic,Non-Multihit Attacks {Steal} 12 HP. Multihit Attacks {Steal} 3 HP per hit.,Bloodlust,,,,https://storage.googleapis.com/origin-production/assets/item/rune_aquatic_hybrid_1.png
rune_aquatic_offensive_1,10620020.0,Special,Rare,Non-Multihit attack deal bonus DMG equal to 5% of remaining HP. Multihit attack deal bonus DMG equal to 3% of remaining HP.,Hearty Warrior,,,,https://storage.googleapis.com/origin-production/assets/item/rune_aquatic_offensive_1.png
rune_aquatic_utility_1,10640010.0,Special,Mystic,"{Solo}. When your turn starts, this Axie gains 1 {Bubble}. {Bubble Bomb} detonated by this Axie deal double DMG.",Heart of Ocean,,,,https://storage.googleapis.com/origin-production/assets/item/rune_aquatic_utility_1.png
rune_beast_defensive_1,10220010.0,Special,Rare,Cannot gain Shield. Take 15% less DMG.,Pangolin Scale,,,,https://storage.googleapis.com/origin-production/assets/item/rune_beast_defensive_1.png
rune_beast_hybrid_1,10230010.0,Special,Epic,"Deal 20% more DMG against Bleeding Enemies
Take 10% less DMG from Bleeding Enemies",Dominant Predator,,,,https://storage.googleapis.com/origin-production/assets/item/rune_beast_hybrid_1.png
rune_beast_offensive_1,10220020.0,Special,Rare,"Deal 20% more DMG.
Take 10% more DMG.",Reckless Hunter,,,,https://storage.googleapis.com/origin-production/assets/item/rune_beast_offensive_1.png
rune_bird_defensive_1,10420010.0,Special,Rare,Summons summoned by this Axie gain 14 bonus max HP.,The Incubator,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bird_defensive_1.png
ecard_dawn_4002,20920020.0,Special,Rare,"(Enhance a Healing card)
Heal Stat +6",Dawn's Charm of Faith I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_dawn_4002.png
ecard_bug_3001_s0,20330011.0,Special,Epic,"(Enhance a Shielding card)
Shield Stat +10",Bug's Charm of Endurance II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bug_5001.png
ecard_plant_2002_s0,20520021.0,Special,Rare,"(Enhance any Healing card)
Heal Stat +6",Plant's Charm of Faith I,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_plant_4002.png
rune_bug_3001_s0,10330011.0,Special,Epic,Single Attack consumes 25% of current Shield and deal bonus DMG equal to 2 times that amount.,Sturdy Fighter,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bug_offensive_1.png
rune_bug_4001_s0,10340011.0,Special,Mystic,"{Solo}. In odd <Round>s, draw 1 additional Card when your turn starts. In even <Round>s, gain 50 Shield when your turn starts.",Collect And Protect,,,,https://storage.googleapis.com/origin-production/assets/item/rune_bug_utility_1.png
rune_plant_defensive_1,10540010.0,Special,Mystic,{Solo}. Increase all ally Axies' max HP by 50.,Gaia's Embrace,,,,https://storage.googleapis.com/origin-production/assets/item/rune_plant_defensive_1.png
ecard_beast_5001,20230020.0,Special,Epic,"(Enhance a Non-Multihit Attack card)
ATK +10",Beast's Charm of Power II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_beast_5001.png
feature_charm,,Special,Common,,Charm,,,,https://storage.googleapis.com/origin-production/assets/item/feature_charm.png
stk_no,1.0,Cosmetic,Common,"Earned from placing top 10,000 in the Contest: ""Plantstravaganza"" ",NO,,,,https://storage.googleapis.com/origin-production/assets/sticker/NO.png
ecard_neutral_3003_s1,20130031.0,Special,Epic,"(Enhance Multihit Attack card)
ATK +3",Charm of Focus III,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_3003.png
ecard_dawn_5002,20930020.0,Special,Epic,"(Enhance a Healing card)
Heal Stat +10",Dawn's Charm of Faith II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_dawn_5002.png
stk_question,1.0,Cosmetic,Common,(Sticker) Earned from unlocking Level Rewards,Wut?,,,,https://storage.googleapis.com/origin-production/assets/sticker/Question.png
ecard_bug_3002_s0,20330021.0,Special,Epic,"(Enhance a Non-Multihit Attack card)
ATK +10",Bug's Charm of Power II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bug_5002.png
ecard_plant_3001_s0,20530011.0,Special,Epic,"(Enhance any card)
Axie's max HP +18",Plant's Charm of Vitality II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_plant_5001.png
rune_mech_2011_s2_nondec,820112.0,Special,Rare,This Axie take 10 less DMG from Attacks.,Steelskin,,,,https://storage.googleapis.com/origin-production/assets/item/rune_steelskin.png
ecard_beast_5002,20230010.0,Special,Epic,"(Enhance any card)
Axie's max HP +18",Beast's Charm of Vitality II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_beast_5002.png
ecard_dawn_5003,20940010.0,Special,Mystic,"(Enhance any card)
Add <Ethereal>. Card's base stat +10%.",Dawn Energy Drink S,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_dawn_5003.png
stk_scared,1.0,Cosmetic,Common,,Scared,,,,https://storage.googleapis.com/origin-production/assets/sticker/Scared.png
stk_steal,1.0,Cosmetic,Common,,Steal,,,,https://storage.googleapis.com/origin-production/assets/sticker/Steal.png
ecard_bug_3003_s0,20330031.0,Special,Epic,"(Enhance any Skill or Secret card)
Draw 1 Card",Trickster's Card,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bug_4003.png
ecard_plant_3002_s0,20530021.0,Special,Epic,"(Enhance any Healing card)
Heal Stat +10",Plant's Charm of Faith II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_plant_5002.png
rune_aquatic_3001_s0,10630011.0,Special,Epic,Single attacks {Steal} 12 HP. AoE and Multihit attacks {Steal} 3 HP per hit.,Bloodlust,,,,https://storage.googleapis.com/origin-production/assets/item/rune_aquatic_hybrid_1.png
ecard_beast_5003,20240010.0,Special,Mystic,"(Enhance any card)
Add <Banish>.",Beast Energy Drink M,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_beast_5003.png
ecard_mech_5001,20830010.0,Special,Epic,"(Enhance a Non-Multihit Attack card)
ATK +10",Mech's Charm of Power II,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_mech_5001.png
ecard_plant_5004,20540020.0,Special,Mystic,"(Enhance any card)
Add <Retain>. Card's base stat -10%.",Ancient Root,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_plant_5004.png
feature_charm_tutorial,,Special,Common,,What are Charms?,,,,https://storage.googleapis.com/origin-production/assets/item/secret.png
feature_collection,,Special,Common,,Collection,,,,https://storage.googleapis.com/origin-production/assets/item/feature_collection.png
stk_sur,1.0,Cosmetic,Common,,Sur,,,,https://storage.googleapis.com/origin-production/assets/sticker/Sur.png
ecard_bug_4003_s0,20340031.0,Special,Mystic,"(Enhance an Attack card)
Attack applies {Weak} for 4 turns.",Lazy Snail,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_bug_5005.png
ecard_neutral_3006_s1,20130061.0,Special,Epic,"(Enhance Single Target Attack cards)
This card targets the second closest enemy. Card's base stat -10%.",Moon Stamp,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_4002.png
ecard_neutral_4001,20120060.0,Special,Rare,"(Enhance Single Target Attack cards)
This card targets the closest enemy.",Earth Stamp,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_4001.png
feature_my_team,,Special,Common,,Axie Team,,,,https://storage.googleapis.com/origin-production/assets/item/feature_my_team.png
ecard_plant_3003_s0,20530031.0,Special,Epic,"(Enhance any Skill or Secret card)
All teammates gain 1 {Leaf}.",Leafy Pot,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_plant_4003.png
rune_dawn_2001_s0,10920011.0,Special,Rare,Take 5% less DMG per Buff on this Axie (capped at 20%).,Arcane Protection,,,,https://storage.googleapis.com/origin-production/assets/item/rune_dawn_defensive_1.png
ecard_beast_5004,20240020.0,Special,Mystic,"(Enhance any cards)
Add <Ethereal>.",Beast Energy Drink S,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_beast_5004.png
feature_my_team_tutorial,,Special,Common,,Axie Team tutorial ,,,,https://storage.googleapis.com/origin-production/assets/item/secret.png
stk_thankyou,1.0,Cosmetic,Common,,Thank,,,,https://storage.googleapis.com/origin-production/assets/sticker/ThankYou.png
rune_neutral_3001_s0_nft,10130010.0,Special,Epic,All cards gain 15% {Class Bonus}.,Pure Instinct,ERC1155,0xC25970724f032aF21d801978C73653c440CF787c,1000031,https://storage.googleapis.com/origin-production/assets/item/rune_neutral_hybrid_2.png
ecard_neutral_3007_s1,20130071.0,Special,Epic,"(Enhance Single Target Attack cards)
This card targets the furthest enemy. Card's base stat -10%.",Sun Stamp,,,,https://storage.googleapis.com/origin-production/assets/item/ecard_neutral_4003.png
